0,0.000000
-1,0.061870
-2,0.060720
-3,0.055620
-4,0.052060
-5,0.046640
-6,0.039620
-7,0.034710
-8,0.028350
-9,0.023130
-10,0.018430
-11,0.014920
-12,0.010040
-13,0.008060
-14,0.005680
-15,0.003610
-16,0.002540
-17,0.001630
-18,0.000960
-19,0.000800
-20,0.000490
-21,0.000190
-22,0.000090
-23,0.000070
-24,0.000030
-25,0.000000
-26,0.000030
-27,0.000030
-28,0.000010
-29,0.000000
-30,0.000000
-31,0.000000
-32,0.000000
-33,0.000000
-34,0.000000
-35,0.000000
-36,0.000000
-37,0.000000
-38,0.000000
-39,0.000000
-40,0.000000
-41,0.000000
-42,0.000000
-43,0.000000
-44,0.000000
-45,0.000000
-46,0.000000
-47,0.000000
-48,0.000000
-49,0.000000
-50,0.000000
0,0.062870
1,0.061860
2,0.060400
3,0.056510
4,0.050860
5,0.045950
6,0.039610
7,0.034690
8,0.028140
9,0.022600
10,0.017990
11,0.014180
12,0.010840
13,0.007590
14,0.005080
15,0.003550
16,0.002620
17,0.001740
18,0.000890
19,0.000750
20,0.000380
21,0.000250
22,0.000140
23,0.000080
24,0.000040
25,0.000030
26,0.000020
27,0.000000
28,0.000000
29,0.000010
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
